p,Luijten_1997,Nagle-Bonner_1970,Doman_1981,Uzelac_1988,Glumac_1989,Glumac_1993,Monroe_1990,Pires_1995,Cannas_1995,Cannas_Magalhaes_1997,Monroe_1992_up,Monroe_1992_down,sqrt_log,hiperolic,linear_power_law,zeta_function,sqrt_log_two,sqrt_log_three,hurwitz_zeta_2_params,sqrt_log_four,finite_hurw_3p,avg_hurwitz,power_law,power_law_referee,power_law_referee_nv-15
1,,,,,,,,,,,,,0,0,1.68E-09,0,1.05E-08,0,0,0,0,0,0.016979404,2.23E-05,6.56E-05
1.05,,,,,,,,,,,,,,,,,,,0.024508325,,,0.024238059,0.114034287,2.23E-05,0.000115964
1.1,0.0476162,,0.0478468,0.053307746,0.050479556,0.04635,0.0477122,0.046942406,0.052197515,0.048076923,0.094562648,0.047256746,0.127020398,0.173854294,3.19E-13,0.05073076,0.077578119,0.123815629,0.04999738,0.133849699,0.049664134,0.049829944,0.129637548,2.25E-05,0.00028621
1.2,0.092234,0.0926154,0.0933992,0.094768764,0.092250923,0.09155,0.092669817,0.089791594,0.098231827,,0.179243592,0.089469446,0.178169718,0.210707479,3.28E-10,0.104841912,0.158886122,0.176079357,0.103137622,0.174722871,0.104752292,0.103938735,0.164866354,2.49E-05,0.000240251
1.25,0.114143,,,,,,,0.11057629,,,,,,,,,,,,,,,,,
1.3,0.136113,0.136956,0.1384778,0.137551582,0.136221223,0.13585,0.137023842,0.131423833,0.14505367,0.143678161,0.255819903,0.127258844,0.223525373,0.246689077,1.94E-10,0.161236649,0.218395653,0.222561194,0.158983014,0.216545233,0.162066477,0.160509697,0.201064258,2.37E-05,0.022453933
1.4,0.181151,0.182542,0.1840814,0.182381908,0.181455271,0.18125,0.18208303,0.175029274,0.194931774,,0.325839036,0.161498708,0.269664561,0.287280632,6.04E-11,0.21833178,0.270523263,0.269098557,0.215388082,0.262336299,0.219572446,0.217459877,0.242382386,0.068481315,0.102275289
1.5,0.229157,0.230737,0.2308212,0.23046785,0.229636944,0.2295,0.229200092,0.225079228,0.247035573,0.25,0.390320062,0.192344682,0.315865642,0.330017692,0.335612427,0.275097527,0.318849715,0.31559476,0.272853794,0.308886948,0.276180118,0.274506926,0.288786052,0.163941466,0.164458055
1.52,,,,,0.239819656,,,0.236451897,,,,,,,,,,,,,,,,,
1.55,0.254772,,,,,,,,,,,,,,,,,,,,,,,,
1.6,0.2818,0.283165,0.2790924,0.283286119,0.28192839,0.2822,0.27956388,0.289440627,0.311915159,,0.450247636,0.220361393,0.361282676,0.373638559,0.376428533,0.330829848,0.364893128,0.361294327,0.330203852,0.355641979,0.330094681,0.330149491,0.340432646,0.255836986,0.243065532
1.65,0.3105,,,,,,,,,,,,,,,,,,,,,,,,
1.7,0.341237,0.342807,0.329139,0.342935528,0.341413452,0.34165,0.334784064,0.385475291,0.383877159,0.390625,0.506585613,0.245881485,0.418665791,0.418835722,0.385268311,0.409629928,0.407363876,0.386902512,0.386902512,0.402961757,0.38155994,0.384212926,0.392964908,0.336330738,0.351315114
1.75,0.374531,,,,,,,,,,,,,,,,,,,,,,,,
1.8,0.41109,0.412488,0.38107108,0.413052458,0.411353353,0.41155,0.397298371,0.564203542,0.489236791,,0.55959709,0.269106566,0.463951446,0.46170034,0.437720008,0.452950404,0.452763351,0.44228724,0.442287241,0.450186399,0.429612737,0.435857885,0.44699628,0.410866716,0.414369384
1.85,0.452101,,,,,,,,,,,,,,,,,,,,,,,,
1.9,0.49963,0.499137,0.434861,0.498007968,0.499001996,0.49865,0.472589792,1.079206179,0.623830318,0.649350649,0.610128127,0.290697674,0.508379826,0.5043362,0.488027282,0.495061845,0.49701502,0.495924478,0.495924478,0.49918823,0.474786029,0.485124851,0.500435576,0.478149462,0.493915146
1.92,,,,,0.518672199,,,,,,,,,,,,,,,,,,,,
1.94,,,,,0.538213132,,,,,,,,,,,,,,,,,,,,
1.95,0.55862,,,,,,,,,,,,,,,,,,,,,,,,
1.96,,,,,0.557568999,,,,,,,,,,,,,,,,,,,,
1.98,,,,0.576701269,0.577034045,,,,,,,,,,,,,,,,,,,,
2,,0.612213,0.4903384,0.596302922,0.595947557,0.615,0.571428571,,1.215854204,,0.657894737,0.309789343,0.552398429,0.547201792,0.535926986,0.535834773,0.540464958,0.547035507,0.547035507,0.547862081,0.51605078,0.531091952,0.551001352,0.539066828,0.551653448
