nv,P0.5,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0,P2.5,P4,P5,Incert
2,1.650079673,1.508930142,1.488933526,1.469946263,1.428265266,1.394644833,1.360791402,1.33027105,1.298417196,1.271128481,1.244645881,1.218500244,1.196845868,1.095501492,0.945081586,0.825039836,
3,2.522787748,1.978685882,1.935196099,1.892921348,1.830095887,1.740525185,1.674611627,1.613994461,1.555710796,1.50308256,1.455245877,1.409521251,1.364750805,1.214907898,0.945081586,0.825039836,
4,3.240916345,2.349032731,2.282809652,2.218436737,2.114913846,1.99495468,1.892921348,1.800770804,1.723341475,1.649272106,1.583917252,1.522574499,1.469201366,1.248586585,0.945081586,0.825039836,
5,3.98990936,2.660903762,2.570319092,2.485476307,2.32574566,2.189679084,2.060552027,1.950209896,1.846140694,1.754528578,1.669944786,1.596643869,1.530484844,1.275186339,0.945081586,0.825039836,
6,4.559497849,2.93184172,2.819434076,2.713531998,2.520381358,2.354488617,2.196995603,2.055189729,1.939702003,1.832496336,1.739542674,1.6512213,1.57600134,1.293508074,0.945081586,0.825039836,
7,5.159640151,3.173541768,3.03955111,2.914298974,2.685062887,2.489525331,2.310048852,2.159735634,2.017669761,1.894870542,1.785191855,1.692154372,1.605683975,1.305456041,0.945081586,0.825039836,
8,,3.389838789,3.23677745,3.092574499,2.832437714,2.605276014,2.407425501,2.232779678,2.081338544,1.946995603,1.828529555,1.725940401,1.634342941,,,,
9,,3.589154861,3.415326658,3.253786028,2.963116756,2.711529067,2.491695164,2.301172447,2.135075721,1.989741085,1.86272594,1.751587689,1.653883732,,,,
10,,3.7728383,3.580036461,3.401563263,3.081582804,2.805569126,2.56741573,2.361016121,2.1827064,2.026380068,1.892037128,1.77357108,1.670981925,,,,
11,,3.942843185,3.731760039,3.537127504,3.190278456,2.892281387,2.6358085,2.414753298,2.224230581,2.059355154,1.916463117,1.791890572,1.684416219,,,,
12,,4.101123596,3.873780759,3.662921348,3.289203713,2.970444553,2.698094773,2.463605276,2.262090865,2.087445042,1.937225208,1.807767465,1.695407914,,,,
13,,4.24963361,4.005611415,3.780166097,3.382022472,3.042501221,2.754274548,2.506350757,2.29506595,2.11309233,1.956765999,1.821201759,1.70517831,,,,
14,,4.390327308,4.129574682,3.890083048,3.467513434,3.109672692,2.805569126,2.546653639,2.325598437,2.135075721,1.972642892,1.833414753,1.713727406,,,,
15,9.3014167,4.52369321,4.247017154,3.993893503,3.5478749,3.172936,2.854421104,2.5837079,2.353199805,2.156472887,1.9877528,1.843917929,1.7204494,1.3231461,,,
16,,4.649324765,4.358065356,4.091599779,3.62404748,3.230947358,2.899013644,2.618165172,2.379027917,2.175078577,2.001660037,1.853479031,1.726597165,,,,
17,,4.769771577,4.463113863,4.184204096,3.695506815,3.285661858,2.940878847,2.648892066,2.402314224,2.19254443,2.013608284,1.861838049,1.732944411,,,,
18,,4.883720059,4.563205471,4.271692669,3.762580027,3.336773279,2.979862043,2.679299091,2.423808553,2.208610645,2.025442243,1.869343773,1.737651856,,,,0.03125
19,,4.992530618,4.658924172,4.355504131,3.826692659,3.38566161,3.017287171,2.706745181,2.444726823,2.22347076,2.035363288,1.877097728,1.741795283,,,,
20,,5.097512577,4.750268575,4.43506293,3.887253953,3.431693235,3.051492715,2.732449701,2.463312967,2.237284089,2.045452708,1.8832472,1.745454732,,,,
21,,5.197979153,4.837730861,4.510720762,3.945575926,3.476139965,3.084681366,2.756616753,2.481686634,2.250182995,2.053861539,1.888852606,1.749672809,,,,
22,,5.29418566,4.921448918,4.583764701,3.999996792,3.51730237,3.11608881,2.780396564,2.499010323,2.262278368,2.062631482,1.893983163,1.752549665,,,,
23,,5.387335137,5.00210636,4.65446961,4.053704141,3.557355804,3.145898208,2.801983006,2.514425444,2.272686785,2.069882089,1.898696812,1.755107579,,,,
24,,5.476407474,5.079893242,4.721370607,4.103748779,3.595272278,3.174023922,2.823213078,2.529743033,2.283686169,2.077385509,1.90328669,1.75811737,,,,
25,,5.5631362,5.154716843,4.786152535,4.152773709,3.631710018,3.201092572,2.843219689,2.544073069,2.293879056,2.084217819,1.907794312,1.760634219,,,,
26,,5.646482123,5.22681906,4.848903152,4.199274735,3.666622753,3.226872071,2.862080444,2.557709574,2.303394668,2.090423012,1.912057628,1.7628236,,,,
27,,5.727262023,5.296598405,4.909086975,4.244281109,3.700013754,3.251711047,2.880103779,2.570858518,2.312422418,2.096381689,1.915768862,1.7648754,,,,
28,,5.805550606,5.364124624,4.967257553,4.287480989,3.732136944,3.275360288,2.897360467,2.583228764,2.32120879,2.102214472,1.919249331,1.7667318,,,,
29,,,5.4295,,,,,,,,,,,,,,
30,,5.955097455,5.492814841,5.078102225,4.370089632,3.793346349,3.319787884,2.929430233,2.606219667,2.337232644,2.112836985,1.925409129,1.7701514,,,,
